Alternative,Highest Concurrency,Size_small,Size_mid_small,Size_medium,Size_mid_large,Size_large,Risk_low,Risk_mid_low,Risk_mid,Risk_mid_high,Risk_high,Closeness_close,Closeness_mid_close,Closeness_mid,Closeness_mid_far,Closeness_far,EnvImpact_close,EnvImpact_mid_close,EnvImpact_mid,EnvImpact_mid_far,EnvImpact_far,winter-like,summer-like,is-like
T1_D180_S33,204,0.987068081797234,0.9819899594724673,0.9823216227112461,0.9963978207388554,0.9930582378958209,0.9938268259864791,0.9904697092777306,0.989586811591486,0.9901510602245501,0.9844765849864083,0.97072949154189,0.9716424710190654,0.9698434780891413,0.9720467211139162,0.9719612643398975,0.9906466999718346,0.9872267066053285,0.9886860947011064,0.9910537642459094,0.9910572061460622,0.6180422264875239,0.6218809980806143,0.6065259117082533
T1_D180_S42,203,0.9868148287685019,0.9828113710673934,0.9837694544811451,0.9964812279042761,0.9928275897245828,0.9954178606266745,0.9913148863463106,0.9896080749680048,0.9886843717780894,0.983138749851963,0.9673596861310131,0.9728358118756674,0.9708761551199668,0.972187153713665,0.9718490850903407,0.9900381897890393,0.9855910020998492,0.9884786426653998,0.990631405331967,0.9910186345257421,0.6238003838771593,0.6218809980806143,0.6007677543186181
T1_D180_S73,201,0.9861422906942527,0.9819378498372745,0.9845843397627208,0.9964191431336098,0.9920824624688924,0.9929393453099993,0.9895556746488889,0.9901267232613612,0.9897230585880477,0.9829792390323608,0.9750206574625186,0.973453640526086,0.9697741982125757,0.9713125459232446,0.9715689950747832,0.9895489661161772,0.9833503853427534,0.9874762435580254,0.9903166586123578,0.9906371025179683,0.6103646833013435,0.6276391554702495,0.5969289827255279
T1_D300_S33,197,0.9860424588575986,0.9756947466809592,0.980219744338493,0.995640824939222,0.9930978799120808,0.9938184119947724,0.9899907503647304,0.9877048831764791,0.9893243806534274,0.9834814788632077,0.9702436212907588,0.9716134103875099,0.9687962636610489,0.9690116872468703,0.9703411214781692,0.9877523222631374,0.9867601977205733,0.9885817800844964,0.9896463937516308,0.9899653534213428,0.6199616122840691,0.6218809980806143,0.6218809980806143
T1_D300_S42,199,0.9859573731682174,0.9767733837792346,0.9802604394152802,0.9959308655626289,0.993285525081937,0.9944171583814736,0.9893696046686172,0.9881026499839635,0.9896251955801868,0.9825757991094016,0.9682785390609522,0.9698042915103195,0.9686369818733906,0.9691077671578914,0.9706897079315997,0.9883275938231519,0.9865605208103427,0.9887660347330606,0.9896155097803752,0.9900835755152763,0.6142034548944337,0.6257197696737045,0.6161228406909789
T1_D300_S73,200,0.9852837630341683,0.976877427573363,0.9867863661288883,0.9956321678311674,0.9929587469587731,0.9930948073156785,0.9908504615413594,0.9880262819606004,0.9909366278516447,0.9803796621534852,0.9650739818447996,0.9754816860552697,0.9692997339323387,0.9702412802960542,0.9704671268979385,0.9876553928630567,0.9882822585915451,0.9899511857638982,0.9898288464662461,0.9904561449692567,0.6103646833013435,0.6295585412667947,0.5969289827255279
T1_D500_S33,209,0.9851856043685909,0.9725984930337327,0.9832564527279527,0.99580510984619,0.9929694036804136,0.9956987884494126,0.9864334112458619,0.9887471829200064,0.9888279123977219,0.9841681983974577,0.9684946735488703,0.9706251797117479,0.9659102627200307,0.9679978434166733,0.9687307862227379,0.9874297019719296,0.9886192791142868,0.9888803895561012,0.9890883926765289,0.9897250925331742,0.6103646833013435,0.6333973128598849,0.5969289827255279
T1_D500_S42,208,0.9848799938615337,0.9724919872670592,0.9831264961616781,0.9957214187401067,0.992636861577497,0.9946475406784573,0.9865223213644447,0.9882691363938415,0.9887631668484418,0.9841149042103867,0.968349389359778,0.9716906014812972,0.9665716130405496,0.9672181189040863,0.9683964723220709,0.9873937265396289,0.9889854732986887,0.989032754813804,0.9888358693181283,0.9893685089642568,0.6084452975047985,0.6333973128598849,0.5969289827255279
T1_D500_S73,206,0.9858884445140508,0.9717811707740148,0.9832525574615056,0.9959256731866017,0.9930272989867105,0.9935173385350358,0.9871603568788752,0.9882363707656165,0.9894809955266627,0.9832384102741377,0.965481648439397,0.971268911957136,0.9663087023317352,0.9680749606443041,0.9687370407297065,0.9877150898364668,0.9900234538347448,0.9891840156016101,0.9889976664920063,0.989579986888744,0.6084452975047985,0.6333973128598849,0.6026871401151631
T1_D700_S33,210,0.9848517645164097,0.9737584769958246,0.9835788961381379,0.9959698629654953,0.9924848079733346,0.9955760005105538,0.9867412509547516,0.9887937735302661,0.9889236716108496,0.9827179075755921,0.9677752124349929,0.9709423343244797,0.9664167350246902,0.9680271252799497,0.9688719613540415,0.9883181838317066,0.9893572640452408,0.9891718880434542,0.9891242352253865,0.9897734770058239,0.6103646833013435,0.6295585412667947,0.6065259117082533
T1_D700_S42,205,0.9852048589767132,0.9737711167105584,0.9836527950801769,0.9959148901615903,0.9924006082750595,0.9956202906282707,0.9873659299055014,0.9876928691728258,0.9890299310927039,0.9834748038733094,0.9706406109619652,0.9715517623889803,0.9667970275760083,0.9676553890370893,0.9687485153174822,0.9869781763120246,0.9883533416615129,0.9893274051021563,0.9889605246051345,0.9896326485703114,0.6103646833013435,0.6314779270633397,0.5950095969289827
T1_D700_S73,203,0.9850850137872441,0.9725501595364426,0.9838808229836064,0.9958980052073952,0.9924577262952594,0.9947566239963509,0.9871482323054126,0.9885215602311147,0.9890173052356352,0.9852911219648811,0.9687193501799214,0.9714612748076729,0.9668931189315907,0.9684584719900498,0.9691950227213275,0.9879990895636187,0.9890826054082359,0.9889881843949124,0.9892643488248848,0.9897232688915124,0.6103646833013435,0.6295585412667947,0.6084452975047985
T1_D900_S33,202,0.9826827424670863,0.9758380933363131,0.9835197821961618,0.9963609917039544,0.9928921101310448,0.995132207133679,0.986250456667943,0.987379821108352,0.989415088339435,0.9859260937192912,0.9652439340435869,0.9706749317906007,0.9655179282124227,0.9666850668201619,0.9678596427531108,0.9877256541220283,0.9886209482839535,0.9880112596673168,0.9889407412249827,0.9893480854710013,0.6007677543186181,0.6410748560460653,0.6046065259117083
T1_D900_S42,206,0.9845615082326434,0.973042493496265,0.9848070896082312,0.9960667581030277,0.992475214913934,0.9956597892263428,0.9863645021779576,0.9882185820271749,0.9892497081455799,0.9835847605902067,0.9615887484014382,0.9711992131151631,0.9659406274541933,0.967489014500388,0.9683483850030414,0.9878175873027125,0.9889776900525572,0.9893303076412835,0.9890104956726196,0.9896130401272318,0.6065259117082533,0.6333973128598849,0.6084452975047985
T1_D900_S73,206,0.9849240556652379,0.9754931586415269,0.9843129000754487,0.9961914074871506,0.9925326810287032,0.9949304422773017,0.9861860934545585,0.9897605573471876,0.9904611838079598,0.9847600506665184,0.9687301195115671,0.9727364183428486,0.9669250912909789,0.9683087749923013,0.9694239427649781,0.9887297069678243,0.9875206543679015,0.9892902443530953,0.9895619605478567,0.9900368333287158,0.6026871401151631,0.6353166986564299,0.5950095969289827
T3_D180_S33,209,0.9851243156232461,0.9724444031098176,0.9845232325568752,0.9955775167708593,0.9909150494323277,0.994101776160363,0.9854586667853843,0.9892690781474496,0.9903069140021931,0.9830790474653445,0.9617524611327528,0.9709925318840885,0.9669095295741328,0.9671396700842334,0.9687740572331124,0.9878367205010008,0.9853727276051726,0.9887959882377683,0.9888666221347349,0.9896568546140666,0.6046065259117083,0.6372360844529751,0.6046065259117083
